Model,Threshold,AUROC,AUPRC,F1,PPV,Recall,Avg Precision,Avg Recall,True Negative,False Positive,False Negative,True Positive,AUROC_boot_mean,AUROC_ci_lower,AUROC_ci_upper,AUPRC_boot_mean,AUPRC_ci_lower,AUPRC_ci_upper,F1_boot_mean,F1_ci_lower,F1_ci_upper,PPV_boot_mean,PPV_ci_lower,PPV_ci_upper,Recall_boot_mean,Recall_ci_lower,Recall_ci_upper,Avg Precision_boot_mean,Avg Precision_ci_lower,Avg Precision_ci_upper,Avg Recall_boot_mean,Avg Recall_ci_lower,Avg Recall_ci_upper,Confusion Matrix_boot_mean,Confusion Matrix_ci_lower,Confusion Matrix_ci_upper
LSTM_365DayFutureTarget_detailed_outputs,0.0,0.7183589512965288,0.6268951371395881,0.5378362223550508,0.3678358269969749,1.0,0.6268951371395881,1.0,0,7732,0,4499,0.7183946028346725,0.7088417905631524,0.7278144709753853,0.6267926800464994,0.6111352925649144,0.6422115941206548,0.5375892902321452,0.5283359403200577,0.546178533222394,0.3676181015452538,0.3590058049219197,0.3756847355081351,1.0,1.0,1.0,0.6267926800464994,0.6111352925649144,0.6422115941206548,1.0,1.0,1.0,3057.75,0.0,7732.0
RNN_365DayFutureTarget_detailed_outputs,0.0,0.7290725466727273,0.6322802906625837,0.5378362223550508,0.3678358269969749,1.0,0.6322802906625837,1.0,0,7732,0,4499,0.7291516279845153,0.7196408933735021,0.7387408482952404,0.6325756603026692,0.6159064887511373,0.6474478385801589,0.5379644118272338,0.5293976193338944,0.5475639836951367,0.3679699942768375,0.3599869184858147,0.3769969748998447,1.0,1.0,1.0,0.6325756603026692,0.6159064887511373,0.6474478385801589,1.0,1.0,1.0,3057.75,0.0,7732.0
TCN_365DayFutureTarget_detailed_outputs,0.0,0.7677955853154469,0.6566045467658124,0.5378362223550508,0.3678358269969749,1.0,0.6566045467658124,1.0,0,7732,0,4499,0.7679673403332434,0.759644986519044,0.7766297282451073,0.6569297634094626,0.6415680353486416,0.6721491732973615,0.5378027452388636,0.5283315129311899,0.5467852627733752,0.3678181669528248,0.3590017169487368,0.3762590957403319,1.0,1.0,1.0,0.6569297634094626,0.6415680353486416,0.6721491732973615,1.0,1.0,1.0,3057.75,0.0,7732.0
Transformer_365DayFutureTarget_detailed_outputs,0.01,0.7713884398291878,0.6593292973291258,0.5627618988054287,0.39155787641427325,1.0,0.6593292973291258,1.0,741,6991,0,4499,0.7714283180005155,0.7626767597413743,0.779762891389574,0.6594416008859333,0.6432172285572568,0.6745915908976416,0.5625873417091807,0.5535486871703994,0.5722497482018899,0.39140429393254306,0.38269431009123667,0.4008052162782031,1.0,1.0,1.0,0.6594416008859333,0.6432172285572568,0.6745915908976416,1.0,1.0,1.0,3057.75,252.0,7289.0
XGBoost_365DayFuture_Classifier_detailed_outputs_classification_pt_lvl,0.0,0.5707971533421933,0.4500633688418012,0.5386223788756795,0.3685716621698962,1.0,0.4500633688418012,1.0,0,7723,0,4508,0.5706040184333829,0.5628022358968442,0.577910791641617,0.4500772977566924,0.4363712061246469,0.4628638974249485,0.5384952542306609,0.5299256758406455,0.5473030652248153,0.36846627422124106,0.3604754312811708,0.37674965252227943,1.0,1.0,1.0,0.4500772977566924,0.4363712061246469,0.4628638974249485,1.0,1.0,1.0,3057.75,0.0,7723.0
MLP_365DayFutureTarget_detailed_outputs,0.03,0.8525078854795551,0.7801904729914813,0.5430381319090796,0.37393089291823467,0.9913832199546485,0.7801904729914813,0.9913832199546485,501,7320,38,4372,0.8524353537057475,0.8449597319181487,0.8597804671872077,0.780114437003834,0.7671586986893238,0.792574767089426,0.5428952726799168,0.5335484538696799,0.5526237095323288,0.3738103481843465,0.36498793915206157,0.38302709721705946,0.9913879355768696,0.9884221159703566,0.9939559360116058,0.780114437003834,0.7671586986893238,0.792574767089426,0.9913879355768696,0.9884221159703566,0.9939559360116058,3057.75,175.0,7502.0
