Model,Threshold,AUROC,AUPRC,F1,PPV,Recall,Avg Precision,Avg Recall,True Negative,False Positive,False Negative,True Positive,AUROC_boot_mean,AUROC_ci_lower,AUROC_ci_upper,AUPRC_boot_mean,AUPRC_ci_lower,AUPRC_ci_upper,F1_boot_mean,F1_ci_lower,F1_ci_upper,PPV_boot_mean,PPV_ci_lower,PPV_ci_upper,Recall_boot_mean,Recall_ci_lower,Recall_ci_upper,Avg Precision_boot_mean,Avg Precision_ci_lower,Avg Precision_ci_upper,Avg Recall_boot_mean,Avg Recall_ci_lower,Avg Recall_ci_upper,Confusion Matrix_boot_mean,Confusion Matrix_ci_lower,Confusion Matrix_ci_upper
LSTM_365DayFutureTarget_detailed_outputs,0.0,0.7183589512965288,0.6268951371395881,0.5378362223550508,0.3678358269969749,1.0,0.6268951371395881,1.0,0,7732,0,4499,0.7182376151083115,0.7090426889854852,0.7281078288165201,0.6271979614031421,0.612726476630016,0.6420645493862037,0.5377500332427868,0.5285129932627527,0.546955746955747,0.3677683754394571,0.35916932384923556,0.37642057068105633,1.0,1.0,1.0,0.6271979614031421,0.612726476630016,0.6420645493862037,1.0,1.0,1.0,3057.75,0.0,7732.0
MLP_365DayFutureTarget_detailed_outputs,0.02,0.7682699679080262,0.6570065701678779,0.5627618988054287,0.39155787641427325,1.0,0.6570065701678779,1.0,741,6991,0,4499,0.7685337710461247,0.7599847975359455,0.776923552959531,0.6576350443206145,0.6415765301493936,0.674614233297556,0.5631002341806753,0.5533909468194642,0.5729247508587791,0.39190207426908796,0.3825435391123612,0.40146779316736947,1.0,1.0,1.0,0.6576350443206145,0.6415765301493936,0.674614233297556,1.0,1.0,1.0,3057.75,252.0,7289.0
RNN_365DayFutureTarget_detailed_outputs,0.0,0.7290725466727273,0.6322802906625837,0.5378362223550508,0.3678358269969749,1.0,0.6322802906625837,1.0,0,7732,0,4499,0.7292873544720504,0.7191093134699725,0.739411246601317,0.6328978821604367,0.6175395749530558,0.6481927816810982,0.5379884725155127,0.5284244721169464,0.5468694309136272,0.36799280516719807,0.35908756438557765,0.37633881121739843,1.0,1.0,1.0,0.6328978821604367,0.6175395749530558,0.6481927816810982,1.0,1.0,1.0,3057.75,0.0,7732.0
TCN_365DayFutureTarget_detailed_outputs,0.0,0.7677955853154469,0.6566045467658124,0.5378362223550508,0.3678358269969749,1.0,0.6566045467658124,1.0,0,7732,0,4499,0.7675887344811684,0.7590062356850155,0.7752127101205196,0.6564610038745518,0.6405057833513197,0.6714181509849579,0.5377841908198616,0.5284222588220242,0.5474734279437088,0.367801160984384,0.3590855203989862,0.37691112746300387,1.0,1.0,1.0,0.6564610038745518,0.6405057833513197,0.6714181509849579,1.0,1.0,1.0,3057.75,0.0,7732.0
Transformer_365DayFutureTarget_detailed_outputs,0.01,0.7713884398291878,0.6593292973291258,0.5627618988054287,0.39155787641427325,1.0,0.6593292973291258,1.0,741,6991,0,4499,0.7713142138383957,0.7629035370361336,0.7797116896134962,0.6594096460754911,0.642658847057769,0.6758108199681336,0.5626451967921937,0.5522564717411991,0.57240327414247,0.39146106660860075,0.3814601559666647,0.4009558608635498,1.0,1.0,1.0,0.6594096460754911,0.642658847057769,0.6758108199681336,1.0,1.0,1.0,3057.75,253.0,7291.0
XGBoost_365DayFuture_Classifier_detailed_outputs_classification_pt_lvl,0.0,0.5707971533421933,0.4500633688418012,0.5386223788756795,0.3685716621698962,1.0,0.4500633688418012,1.0,0,7723,0,4508,0.570727578553896,0.5626708329159047,0.5788836905652568,0.4502018608597044,0.43667626974646656,0.46289376326449855,0.5385615093714367,0.5288647594095695,0.5479110107899691,0.36852841141362114,0.3594943177172758,0.3773260567410678,1.0,1.0,1.0,0.4502018608597044,0.43667626974646656,0.46289376326449855,1.0,1.0,1.0,3057.75,0.0,7723.0
