Model,Threshold,AUROC,AUPRC,F1,PPV,Recall,Avg Precision,Avg Recall,True Negative,False Positive,False Negative,True Positive,AUROC_boot_mean,AUROC_ci_lower,AUROC_ci_upper,AUPRC_boot_mean,AUPRC_ci_lower,AUPRC_ci_upper,F1_boot_mean,F1_ci_lower,F1_ci_upper,PPV_boot_mean,PPV_ci_lower,PPV_ci_upper,Recall_boot_mean,Recall_ci_lower,Recall_ci_upper,Avg Precision_boot_mean,Avg Precision_ci_lower,Avg Precision_ci_upper,Avg Recall_boot_mean,Avg Recall_ci_lower,Avg Recall_ci_upper,Confusion Matrix_boot_mean,Confusion Matrix_ci_lower,Confusion Matrix_ci_upper
DeepSurv_LSTM_365DayFutureTarget_detailed_outputs,0.03,0.8948072629424867,0.8280733070277154,0.4953818536573656,0.32958154744199136,0.9968706836039218,0.8280733070277154,0.9968706836039218,112373,1343296,2073,660372,0.8948128045561827,0.8943293037238299,0.8952823956792717,0.8280976741783204,0.8272275852807914,0.8289954175637294,0.4953848470731133,0.49467529019450923,0.4961714085113175,0.3295839338795844,0.32895757952458965,0.33027887590519517,0.996873906224049,0.9967423500161229,0.9970040231602919,0.8280976741783204,0.8272275852807914,0.8289954175637294,0.996873906224049,0.9967423500161229,0.9970040231602919,529528.5,35543.925,1377375.075
DeepSurv_RNN_365DayFutureTarget_detailed_outputs,0.03,0.9039978594074177,0.8400234947294265,0.5246591585057668,0.3566523826453211,0.99191781959257,0.8400234947294265,0.99191781959257,270375,1185294,5354,657091,0.9039995056008345,0.9035165367107512,0.904433086184838,0.8400255448482614,0.8391274855389526,0.8408203647096676,0.5246491604893775,0.5239127882576883,0.5253787055576717,0.3566442526249198,0.35597467509877234,0.3573289363752345,0.9919099386216236,0.9917060280724668,0.9921259988306554,0.8400255448482614,0.8391274855389526,0.8408203647096676,0.9919099386216236,0.9917060280724668,0.9921259988306554,529528.5,85859.0,1266665.025
DeepSurv_TCN_365DayFutureTarget_detailed_outputs,0.03,0.8703521363766599,0.8010526578557716,0.4826724486689542,0.3184252375519683,0.9968676644853535,0.8010526578557716,0.9968676644853535,42177,1413492,2075,660370,0.8703663556499223,0.8698082856043038,0.8709367223227645,0.8010822907536166,0.8001141011986841,0.8020048532233887,0.4826793392682681,0.48194628792646677,0.48339935450065036,0.31843085549123623,0.3177934881667618,0.31905936675144797,0.9968721608931473,0.9967372924934096,0.996999790093171,0.8010822907536166,0.8001141011986841,0.8020048532233887,0.9968721608931473,0.9967372924934096,0.996999790093171,529528.5,13693.975,1425464.0
DeepSurv_Transformer_365DayFutureTarget_detailed_outputs,0.03,0.8780571672537706,0.801211197128949,0.48543532372580894,0.32079315133681013,0.9972676976956577,0.801211197128949,0.9972676976956577,56924,1398745,1810,660635,0.8780515979230272,0.8775236039905754,0.8785990416453516,0.8012006965380463,0.8002034753190742,0.8021796743668866,0.4854259538025627,0.48472283650605896,0.48614597242707347,0.32078478362636725,0.32017653588009887,0.32141284062305664,0.9972702195658474,0.9971386444585593,0.9973955308272904,0.8012006965380463,0.8002034753190742,0.8021796743668866,0.9972702195658474,0.9971386444585593,0.9973955308272904,529528.5,18194.975,1415561.025
DeepSurv_MLP_365DayFutureTarget_detailed_outputs,0.03,0.8476720064047362,0.7561448324019995,0.48038621916936314,0.3162046839051907,0.9991923857829706,0.7561448324019995,0.9991923857829706,24283,1431386,535,661910,0.8476790704218513,0.8470902922837495,0.8482434608775508,0.7561617216433016,0.7550637967768976,0.7571765785138806,0.48038220137543,0.479645089320532,0.48110135195496984,0.3162013741658227,0.31556491661821334,0.31682760965174345,0.9991914463812624,0.9991213865939492,0.9992554926693153,0.7561617216433016,0.7550637967768976,0.7571765785138806,0.9991914463812624,0.9991213865939492,0.9992554926693153,529528.5,7647.975,1438786.025
