Model,Threshold,AUROC,AUPRC,F1,PPV,Recall,Avg Precision,Avg Recall,True Negative,False Positive,False Negative,True Positive,AUROC_boot_mean,AUROC_ci_lower,AUROC_ci_upper,AUPRC_boot_mean,AUPRC_ci_lower,AUPRC_ci_upper,F1_boot_mean,F1_ci_lower,F1_ci_upper,PPV_boot_mean,PPV_ci_lower,PPV_ci_upper,Recall_boot_mean,Recall_ci_lower,Recall_ci_upper,Avg Precision_boot_mean,Avg Precision_ci_lower,Avg Precision_ci_upper,Avg Recall_boot_mean,Avg Recall_ci_lower,Avg Recall_ci_upper,Confusion Matrix_boot_mean,Confusion Matrix_ci_lower,Confusion Matrix_ci_upper
LSTM_365DayFutureTarget_detailed_outputs,0.03,0.8675659200171295,0.7947647432437117,0.5096316882386922,0.34368141341342395,0.985482568364166,0.7947647432437117,0.985482568364166,208982,1246687,9617,652828,0.8675731468605329,0.8670541652627342,0.8681077048569367,0.7947801675009578,0.7938691599079581,0.7956202152972325,0.5096367039224788,0.508816404915146,0.5103768856530578,0.34368653470639715,0.34294981424781956,0.3443584513192866,0.9854786978480057,0.9851911562739099,0.9857734990098054,0.7947801675009578,0.7938691599079581,0.7956202152972325,0.9854786978480057,0.9851911562739099,0.9857734990098054,529528.5,68067.0,1305918.05
RNN_365DayFutureTarget_detailed_outputs,0.03,0.8778240606600587,0.8081017168616222,0.49525460637650276,0.3298319569872428,0.9935617296530278,0.8081017168616222,0.9935617296530278,118348,1337321,4265,658180,0.8778192621167377,0.8772981999141027,0.8783659536639916,0.8081155797739598,0.807189118001198,0.8090260622180627,0.49528335420834513,0.49447268109494,0.49603884265320536,0.3298575908591006,0.32914020047748227,0.3305146152728935,0.9935613341296721,0.9933605850911273,0.9937548976777653,0.8081155797739598,0.807189118001198,0.8090260622180627,0.9935613341296721,0.9933605850911273,0.9937548976777653,529528.5,38106.0,1371770.075
TCN_365DayFutureTarget_detailed_outputs,0.03,0.8680273834224219,0.801479452030218,0.4969968812525418,0.33201842328501907,0.9878601242367291,0.801479452030218,0.9878601242367291,139088,1316581,8042,654403,0.8680327202132231,0.8674952088627782,0.8685730358584207,0.8014790809585703,0.8005553414184056,0.8023696723458931,0.4969858808194905,0.4962537061757972,0.497676547090808,0.33200841541276216,0.3313481374916301,0.332629023385035,0.987862532026201,0.987598540744323,0.9881191428830666,0.8014790809585703,0.8005553414184056,0.8023696723458931,0.987862532026201,0.987598540744323,0.9881191428830666,529528.5,45751.0,1354966.0
Transformer_365DayFutureTarget_detailed_outputs,0.03,0.8965836478596261,0.8329614814226299,0.5855224620479301,0.42084240864044087,0.9619394817682978,0.8329614814226299,0.9619394817682978,578719,876950,25213,637232,0.8965774846751863,0.8960768515119168,0.8970813329592994,0.8329526600420496,0.8321012929795377,0.8338229155590989,0.5855406977143417,0.5847992788502479,0.5863132310147249,0.4208598600241664,0.42012176504090837,0.4216414373788993,0.9619473063887728,0.9614728181484318,0.9624092248745403,0.8329526600420496,0.8321012929795377,0.8338229155590989,0.9619473063887728,0.9614728181484318,0.9624092248745403,529528.5,188416.0,1041304.05
XGBoost_365DayFuture_Classifier_detailed_outputs_classification,0.0,0.6445474531867423,0.45845290307005926,0.46354938738609597,0.30170145631786843,1.0,0.45845290307005926,1.0,0,1414609,0,611185,0.6445215849508991,0.6437711788494548,0.6453435677384098,0.45843751495117113,0.45714859109748945,0.4596858964232834,0.46355061137054665,0.4628002515769273,0.46427044930945377,0.3017025660062178,0.3010670877690427,0.3023126364279882,1.0,1.0,1.0,0.45843751495117113,0.45714859109748945,0.4596858964232834,1.0,1.0,1.0,506448.5,0.0,1414609.0
MLP_365DayFutureTarget_detailed_outputs,0.03,0.8706856087986321,0.8008421150466306,0.509387414444561,0.34386764754849136,0.9821358754311679,0.8008421150466306,0.9821358754311679,214241,1241428,11834,650611,0.8706964752286144,0.8701578704426983,0.8712568627961736,0.8008363608543032,0.7998365205973006,0.8017237766093963,0.5093781772777285,0.5086677648326483,0.5101028410574974,0.343858560301146,0.3432240381704771,0.3445096086671755,0.9821420234007244,0.9818070156751743,0.9824359526921237,0.8008363608543032,0.7998365205973006,0.8017237766093963,0.9821420234007244,0.9818070156751743,0.9824359526921237,529528.5,70378.95,1300781.0
