Model,Threshold,AUROC,AUPRC,F1,PPV,Recall,Avg Precision,Avg Recall,True Negative,False Positive,False Negative,True Positive,AUROC_boot_mean,AUROC_ci_lower,AUROC_ci_upper,AUPRC_boot_mean,AUPRC_ci_lower,AUPRC_ci_upper,F1_boot_mean,F1_ci_lower,F1_ci_upper,PPV_boot_mean,PPV_ci_lower,PPV_ci_upper,Recall_boot_mean,Recall_ci_lower,Recall_ci_upper,Avg Precision_boot_mean,Avg Precision_ci_lower,Avg Precision_ci_upper,Avg Recall_boot_mean,Avg Recall_ci_lower,Avg Recall_ci_upper,Confusion Matrix_boot_mean,Confusion Matrix_ci_lower,Confusion Matrix_ci_upper
DeepSurv_LSTM_365DayFutureTarget_detailed_outputs,0.0,0.6864827810790166,0.5602838179031522,0.5378362223550508,0.3678358269969749,1.0,0.5602838179031522,1.0,0,7732,0,4499,0.6865638061425019,0.6765109935469463,0.6962398511731703,0.5604771106547002,0.5449719085411596,0.5757969431090024,0.5377704719841461,0.5284200452607769,0.547300908605024,0.3677881612296623,0.35908347641239474,0.376747608535688,1.0,1.0,1.0,0.5604771106547002,0.5449719085411596,0.5757969431090024,1.0,1.0,1.0,3057.75,0.0,7732.0
DeepSurv_RNN_365DayFutureTarget_detailed_outputs,0.0,0.7077535739102567,0.6178049820791774,0.5378362223550508,0.3678358269969749,1.0,0.6178049820791774,1.0,0,7732,0,4499,0.7079011197091831,0.698561142951305,0.7170519685266106,0.6178213632207116,0.60213892521193,0.6328659290718994,0.5376724977023172,0.5286877911125702,0.5468759038478008,0.3676965088709018,0.35933079878995994,0.37634494317717276,1.0,1.0,1.0,0.6178213632207116,0.60213892521193,0.6328659290718994,1.0,1.0,1.0,3057.75,0.0,7732.0
DeepSurv_TCN_365DayFutureTarget_detailed_outputs,0.0,0.7032819530971244,0.6047929527284363,0.5378362223550508,0.3678358269969749,1.0,0.6047929527284363,1.0,0,7732,0,4499,0.7031562902782907,0.6937566340490681,0.7131720578674381,0.6047251215541706,0.5896405131268528,0.6206953464759486,0.5376072611607114,0.5286015037593985,0.5466989264747139,0.3676351075136947,0.35925108331289346,0.376177336276674,1.0,1.0,1.0,0.6047251215541706,0.5896405131268528,0.6206953464759486,1.0,1.0,1.0,3057.75,0.0,7732.0
DeepSurv_Transformer_365DayFutureTarget_detailed_outputs,0.0,0.6461988966450785,0.5282389379091506,0.5378362223550508,0.3678358269969749,1.0,0.5282389379091506,1.0,0,7732,0,4499,0.6461492461555395,0.6357110426177689,0.6560611715496417,0.528558420648453,0.5133496652327455,0.5436091250628087,0.5377613073477219,0.5281588447653429,0.5472189470626755,0.36778055759954215,0.3588422859946039,0.376669937045213,1.0,1.0,1.0,0.528558420648453,0.5133496652327455,0.5436091250628087,1.0,1.0,1.0,3057.75,0.0,7732.0
DeepSurv_MLP_365DayFutureTarget_detailed_outputs,0.03,0.7829794795713899,0.6946544838977108,0.532249322493225,0.3626590069757899,0.9997737556561086,0.6946544838977108,0.9997737556561086,45,7766,1,4419,0.7829763192197189,0.7743295553384654,0.7917316890098123,0.6950746793513174,0.6808699718112082,0.7086552499008888,0.5325524276520422,0.523324710292012,0.5420719864589502,0.3629547260034325,0.3544175798572532,0.3718113700048893,0.9997701327753298,0.9993164535114328,1.0,0.6950746793513174,0.6808699718112082,0.7086552499008888,0.9997701327753298,0.9993164535114328,1.0,3057.75,11.0,7788.0
