Model,Eval_Day,AUC@365,C-index,brier_score,C-index_boot_mean,C-index_ci_lower,C-index_ci_upper,AUC@365_boot_mean,AUC@365_ci_lower,AUC@365_ci_upper,Brier@365_boot_mean,Brier@365_ci_lower,Brier@365_ci_upper
DeepSurv_LSTM_365DayFutureTarget_detailed_outputs,365,0.9326783905051382,0.9326719241761025,0.09643777250509827,0.9329358739841023,0.9142397199543978,0.9505939714736102,0.9329424479239464,0.9142399731089076,0.9505965494939758,0.09643154941446694,0.09444634346093328,0.0983324140131386
DeepSurv_MLP_365DayFutureTarget_detailed_outputs,365,0.9196817556809959,0.9196849111890895,0.23069209308068175,0.9201008113637428,0.8969666395544625,0.9393902292704732,0.9200975994838404,0.8969665908383991,0.9393862288752776,0.23068895549455373,0.2299683857661391,0.2313926312696996
DeepSurv_RNN_365DayFutureTarget_detailed_outputs,365,0.9406435446519033,0.9406432008103317,0.07188199338331908,0.9410444455943001,0.9223091687126405,0.9571492465936939,0.9410447915348665,0.922308076743082,0.9571478241256258,0.07183344426775684,0.06958807459796325,0.07408915047815595
DeepSurv_TCN_365DayFutureTarget_detailed_outputs,365,0.9349616442321609,0.934959121658286,0.06288663915017638,0.9352243384126482,0.9165669521345681,0.9525621748263097,0.9352268266879648,0.9165742867673218,0.9525606031358437,0.06284946693369839,0.060778901994367626,0.06496630635980817
DeepSurv_Transformer_365DayFutureTarget_detailed_outputs,365,0.9197604573744391,0.9197681148934631,0.10780810735996581,0.9198722979109046,0.8981284024699998,0.9403367619650586,0.9198649220543128,0.8981284024699998,0.9403364463047346,0.10786943800586465,0.10525373508869376,0.1106308194412686
