Model,Threshold,AUROC,AUPRC,F1,PPV,Recall,Avg Precision,Avg Recall,True Negative,False Positive,False Negative,True Positive,AUROC_boot_mean,AUROC_ci_lower,AUROC_ci_upper,AUPRC_boot_mean,AUPRC_ci_lower,AUPRC_ci_upper,F1_boot_mean,F1_ci_lower,F1_ci_upper,PPV_boot_mean,PPV_ci_lower,PPV_ci_upper,Recall_boot_mean,Recall_ci_lower,Recall_ci_upper,Avg Precision_boot_mean,Avg Precision_ci_lower,Avg Precision_ci_upper,Avg Recall_boot_mean,Avg Recall_ci_lower,Avg Recall_ci_upper,Confusion Matrix_boot_mean,Confusion Matrix_ci_lower,Confusion Matrix_ci_upper
DeepSurv_LSTM_365DayFutureTarget_detailed_outputs,0.0,0.6864827810790166,0.5602838179031522,0.5378362223550508,0.3678358269969749,1.0,0.5602838179031522,1.0,0,7732,0,4499,0.6862865100800605,0.6763965463213745,0.6955452721631031,0.5603435691868137,0.543412085611784,0.5760074429791648,0.5379251088198366,0.5288669713735867,0.5471283482805726,0.36793344779658244,0.35949636170386723,0.3765840896083722,1.0,1.0,1.0,0.5603435691868137,0.543412085611784,0.5760074429791648,1.0,1.0,1.0,3057.75,0.0,7732.0
DeepSurv_MLP_365DayFutureTarget_detailed_outputs,0.0,0.6636947228716803,0.5051535012738326,0.5378362223550508,0.3678358269969749,1.0,0.5051535012738326,1.0,0,7732,0,4499,0.6636121597666704,0.6541229755125065,0.6735028024840988,0.5051824139697194,0.49095571214115163,0.5190809315161082,0.5378467213399315,0.5290394734424876,0.546955746955747,0.3678598642792904,0.35965579265800013,0.37642057068105633,1.0,1.0,1.0,0.5051824139697194,0.49095571214115163,0.5190809315161082,1.0,1.0,1.0,3057.75,0.0,7732.0
DeepSurv_RNN_365DayFutureTarget_detailed_outputs,0.0,0.7077535739102567,0.6178049820791774,0.5378362223550508,0.3678358269969749,1.0,0.6178049820791774,1.0,0,7732,0,4499,0.7076457011249884,0.6977861970478392,0.7172128644727497,0.617684141737202,0.6026920180446774,0.6319526292001378,0.5378990468316878,0.5283337267588104,0.546439856016305,0.3679074482871392,0.35900376093532826,0.3759320578857002,1.0,1.0,1.0,0.617684141737202,0.6026920180446774,0.6319526292001378,1.0,1.0,1.0,3057.75,0.0,7732.0
DeepSurv_TCN_365DayFutureTarget_detailed_outputs,0.0,0.7032819530971244,0.6047929527284363,0.5378362223550508,0.3678358269969749,1.0,0.6047929527284363,1.0,0,7732,0,4499,0.7032296813625026,0.69322060047913,0.7128116730153206,0.6053525010106005,0.588898697373207,0.6208884305251976,0.5381425782237248,0.5287652154393264,0.5473095335476791,0.3681371106205543,0.35940233832066065,0.37675578448205377,1.0,1.0,1.0,0.6053525010106005,0.588898697373207,0.6208884305251976,1.0,1.0,1.0,3057.75,0.0,7732.0
DeepSurv_Transformer_365DayFutureTarget_detailed_outputs,0.0,0.6461988966450785,0.5282389379091506,0.5378362223550508,0.3678358269969749,1.0,0.5282389379091506,1.0,0,7732,0,4499,0.6462237942302318,0.635880863612307,0.655705119240205,0.5285295823057063,0.5138745507028467,0.5440738344333962,0.5378595476153961,0.5286877911125702,0.5461871714961122,0.36787082004742044,0.35933079878995994,0.37569291145450084,1.0,1.0,1.0,0.5285295823057063,0.5138745507028467,0.5440738344333962,1.0,1.0,1.0,3057.75,0.0,7732.0
