Model,Threshold,AUROC,AUPRC,F1,PPV,Recall,Avg Precision,Avg Recall,True Negative,False Positive,False Negative,True Positive,AUROC_boot_mean,AUROC_ci_lower,AUROC_ci_upper,AUPRC_boot_mean,AUPRC_ci_lower,AUPRC_ci_upper,F1_boot_mean,F1_ci_lower,F1_ci_upper,PPV_boot_mean,PPV_ci_lower,PPV_ci_upper,Recall_boot_mean,Recall_ci_lower,Recall_ci_upper,Avg Precision_boot_mean,Avg Precision_ci_lower,Avg Precision_ci_upper,Avg Recall_boot_mean,Avg Recall_ci_lower,Avg Recall_ci_upper,Confusion Matrix_boot_mean,Confusion Matrix_ci_lower,Confusion Matrix_ci_upper
DeepSurv_LSTM_365DayFutureTarget_detailed_outputs,0.03,0.8948072629424867,0.8280733070277154,0.4953818536573656,0.32958154744199136,0.9968706836039218,0.8280733070277154,0.9968706836039218,112373,1343296,2073,660372,0.894802717329547,0.8943204059135489,0.8952740347306595,0.8280528242945132,0.8272814990545152,0.8288263204724137,0.4953569313099466,0.4946422061705965,0.49605488363977,0.3295595809161115,0.32893419539463276,0.3301790115497707,0.9968705181270172,0.9967363391753641,0.9969961196350877,0.8280528242945132,0.8272814990545152,0.8288263204724137,0.9968705181270172,0.9967363391753641,0.9969961196350877,529528.5,35556.975,1377340.0
DeepSurv_MLP_365DayFutureTarget_detailed_outputs,0.03,0.8350377626778518,0.7324642314932863,0.477005933035031,0.3132270452804132,0.9997524322773966,0.7324642314932863,0.9997524322773966,3570,1452099,164,662281,0.8350368548747876,0.834435604231686,0.8356156090989142,0.7324594125496663,0.7312854136954535,0.7335902474600431,0.4770129103733631,0.4763009327121495,0.4777271619914743,0.31323319258069987,0.3126181062504651,0.31385099343421796,0.9997519409552923,0.9997131704752613,0.9997915040608589,0.7324594125496663,0.7312854136954535,0.7335902474600431,0.9997519409552923,0.9997131704752613,0.9997915040608589,529528.5,1126.0,1453168.0
DeepSurv_RNN_365DayFutureTarget_detailed_outputs,0.03,0.9039978594074177,0.8400234947294265,0.5246591585057668,0.3566523826453211,0.99191781959257,0.8400234947294265,0.99191781959257,270375,1185294,5354,657091,0.9039939477650935,0.9035333786532029,0.9044522698678752,0.8400317203673751,0.8392182374941412,0.8408639130013721,0.524674927690048,0.5239283489568295,0.5254314999908666,0.35666745153313345,0.35598104906108213,0.35733994349855264,0.9919147328529924,0.9916887443147605,0.9921336261685192,0.8400317203673751,0.8392182374941412,0.8408639130013721,0.9919147328529924,0.9916887443147605,0.9921336261685192,529528.5,85871.975,1266664.1
DeepSurv_TCN_365DayFutureTarget_detailed_outputs,0.03,0.8703521363766599,0.8010526578557716,0.4826724486689542,0.3184252375519683,0.9968676644853535,0.8010526578557716,0.9968676644853535,42177,1413492,2075,660370,0.8703499451312129,0.8697749275213397,0.8708829029209332,0.8010555915860088,0.8000706882609164,0.8019628750405983,0.4826840267523885,0.4819447591219358,0.4833759037170469,0.31843506826084117,0.31779605071487216,0.3190335300440058,0.9968708624695641,0.9967332273906121,0.9970027437048141,0.8010555915860088,0.8000706882609164,0.8019628750405983,0.9968708624695641,0.9967332273906121,0.9970027437048141,529528.5,13696.0,1425468.0
DeepSurv_Transformer_365DayFutureTarget_detailed_outputs,0.03,0.8780571672537706,0.801211197128949,0.48543532372580894,0.32079315133681013,0.9972676976956577,0.801211197128949,0.9972676976956577,56924,1398745,1810,660635,0.8780501384706284,0.8775247070113245,0.8785787446569995,0.8012122405807952,0.800226647220455,0.8021696292492109,0.4854310229676591,0.4847314717593511,0.4861369366876562,0.3207895694712432,0.3201854694961156,0.32140392103393156,0.9972667821406198,0.9971479462505192,0.997385376067514,0.8012122405807952,0.800226647220455,0.8021696292492109,0.9972667821406198,0.9971479462505192,0.997385376067514,529528.5,18208.975,1415551.025
