Model,Threshold,AUROC,AUPRC,F1,PPV,Recall,Avg Precision,Avg Recall,True Negative,False Positive,False Negative,True Positive,AUROC_boot_mean,AUROC_ci_lower,AUROC_ci_upper,AUPRC_boot_mean,AUPRC_ci_lower,AUPRC_ci_upper,F1_boot_mean,F1_ci_lower,F1_ci_upper,PPV_boot_mean,PPV_ci_lower,PPV_ci_upper,Recall_boot_mean,Recall_ci_lower,Recall_ci_upper,Avg Precision_boot_mean,Avg Precision_ci_lower,Avg Precision_ci_upper,Avg Recall_boot_mean,Avg Recall_ci_lower,Avg Recall_ci_upper,Confusion Matrix_boot_mean,Confusion Matrix_ci_lower,Confusion Matrix_ci_upper
LSTM_365DayFutureTarget_detailed_outputs,0.03,0.8675659200171295,0.7947647432437117,0.5096316882386922,0.34368141341342395,0.985482568364166,0.7947647432437117,0.985482568364166,208982,1246687,9617,652828,0.8675707910073225,0.8670173006813329,0.8681076992319535,0.7947771823704382,0.793892637069092,0.7956385742319864,0.5096253703474405,0.5088774987716663,0.5103467289961101,0.3436760656708355,0.3430045134211096,0.34431796516902685,0.9854800051869336,0.985195994934648,0.9857599624262674,0.7947771823704382,0.793892637069092,0.7956385742319864,0.9854800051869336,0.985195994934648,0.9857599624262674,529528.5,68043.0,1305914.05
MLP_365DayFutureTarget_detailed_outputs,0.03,0.8582187046306107,0.7772403125046863,0.47813955100578864,0.31422940189063475,0.9995093932326458,0.7772403125046863,0.9995093932326458,10666,1445003,325,662120,0.8582142078138276,0.8576292992588733,0.8587869591491304,0.777228889407945,0.7762510061213973,0.7782311937803784,0.47815493683463794,0.47743334879004035,0.4788434818097986,0.3142427452228272,0.31361957440259364,0.3148373137607536,0.9995095976879662,0.9994549785230694,0.9995601351875459,0.777228889407945,0.7762510061213973,0.7782311937803784,0.9995095976879662,0.9994549785230694,0.9995601351875459,529528.5,3365.975,1448228.0
RNN_365DayFutureTarget_detailed_outputs,0.03,0.8778240606600587,0.8081017168616222,0.49525460637650276,0.3298319569872428,0.9935617296530278,0.8081017168616222,0.9935617296530278,118348,1337321,4265,658180,0.8778295599862943,0.8773029897814021,0.878353332122922,0.8080908529117425,0.8072213778855044,0.8089532587780367,0.49524984239145964,0.49455606481065967,0.49594973826477523,0.32982705848182814,0.32921339814267053,0.33044179356868064,0.9935685374340325,0.9933788413977958,0.993766798872117,0.8080908529117425,0.8072213778855044,0.8089532587780367,0.9935685374340325,0.9933788413977958,0.993766798872117,529528.5,38110.975,1371745.025
TCN_365DayFutureTarget_detailed_outputs,0.03,0.8680273834224219,0.801479452030218,0.4969968812525418,0.33201842328501907,0.9878601242367291,0.801479452030218,0.9878601242367291,139088,1316581,8042,654403,0.8680285834902849,0.8674919526506291,0.8686085442161858,0.8014805242985733,0.8005446824172939,0.8023856003689874,0.4970004880174363,0.4962474257194271,0.4977264939608522,0.33202160428437444,0.3313592938339246,0.3326721091296968,0.9878612022431322,0.9876016950088364,0.9881131464586171,0.8014805242985733,0.8005446824172939,0.8023856003689874,0.9878612022431322,0.9876016950088364,0.9881131464586171,529528.5,45748.925,1354938.025
Transformer_365DayFutureTarget_detailed_outputs,0.03,0.8965836478596261,0.8329614814226299,0.5855224620479301,0.42084240864044087,0.9619394817682978,0.8329614814226299,0.9619394817682978,578719,876950,25213,637232,0.8965761063557908,0.8961008628558597,0.89704138603098,0.8329418097342872,0.832104213492853,0.8337481989730268,0.5855192530978596,0.5847571494158218,0.5863326230181057,0.420839653964016,0.42006197247583643,0.4216495147352024,0.9619371965652714,0.9614769503425984,0.9624123180656504,0.8329418097342872,0.832104213492853,0.8337481989730268,0.9619371965652714,0.9614769503425984,0.9624123180656504,529528.5,188409.975,1041321.1
XGBoost_365DayFuture_Classifier_detailed_outputs_classification,0.0,0.6445474531867423,0.45845290307005926,0.46354938738609597,0.30170145631786843,1.0,0.45845290307005926,1.0,0,1414609,0,611185,0.6445220390699546,0.6437338226573505,0.6453435175792888,0.45843124169328087,0.4571633500230172,0.45967489191059496,0.4635522195190307,0.46285620987556664,0.46427331618086176,0.3017039333713102,0.3011144519136694,0.3023150675735045,1.0,1.0,1.0,0.45843124169328087,0.4571633500230172,0.45967489191059496,1.0,1.0,1.0,506448.5,0.0,1414609.0
